"filename", "language", "XML", "JSON", "HTML", "Dart", "YAML", "Markdown", "C++", "Swift", "Properties", "Groovy", "Java", "comment", "blank", "total"
"/home/mmd/projects/flutter/Farahosh/images/playp.svg", "XML", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"/home/mmd/projects/flutter/Farahosh/images/podcastman.svg", "XML", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"/home/mmd/projects/flutter/Farahosh/images/right_t.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/images/send.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/images/serche.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/images/sort.svg", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/mmd/projects/flutter/Farahosh/images/student.svg", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/home/mmd/projects/flutter/Farahosh/images/true.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/images/west.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/home/mmd/projects/flutter/Farahosh/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"/home/mmd/projects/flutter/Farahosh/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
